/home/ubuntu/miniconda3/envs/prefix/lib/python3.7/site-packages/torchvision/transforms/transforms.py:886: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  warnings.warn("The use of the transforms.RandomSizedCrop transform is deprecated, " +
/home/ubuntu/miniconda3/envs/prefix/lib/python3.7/site-packages/torchvision/transforms/transforms.py:285: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
100 Test Acc = 45.58% +- 1.80%
Epoch 12 | Batch 0/100 | Loss 1.361394
Epoch 12 | Batch 10/100 | Loss 1.454734
Epoch 12 | Batch 20/100 | Loss 1.418323
Epoch 12 | Batch 30/100 | Loss 1.427197
Epoch 12 | Batch 40/100 | Loss 1.408944
Epoch 12 | Batch 50/100 | Loss 1.406929
Epoch 12 | Batch 60/100 | Loss 1.412244
Epoch 12 | Batch 70/100 | Loss 1.416860
Epoch 12 | Batch 80/100 | Loss 1.420822
Epoch 12 | Batch 90/100 | Loss 1.420873
100 Test Acc = 48.41% +- 1.92%
best model! save...
Epoch 13 | Batch 0/100 | Loss 1.398735
Epoch 13 | Batch 10/100 | Loss 1.406758
Epoch 13 | Batch 20/100 | Loss 1.444621
Epoch 13 | Batch 30/100 | Loss 1.436999
Epoch 13 | Batch 40/100 | Loss 1.423486
Epoch 13 | Batch 50/100 | Loss 1.422159
Epoch 13 | Batch 60/100 | Loss 1.412833
Epoch 13 | Batch 70/100 | Loss 1.408968
Epoch 13 | Batch 80/100 | Loss 1.403695
Epoch 13 | Batch 90/100 | Loss 1.399717
100 Test Acc = 47.77% +- 1.53%
Epoch 14 | Batch 0/100 | Loss 1.338316
Epoch 14 | Batch 10/100 | Loss 1.422822
Epoch 14 | Batch 20/100 | Loss 1.396039
Epoch 14 | Batch 30/100 | Loss 1.421564
Epoch 14 | Batch 40/100 | Loss 1.420115
Epoch 14 | Batch 50/100 | Loss 1.412317
Epoch 14 | Batch 60/100 | Loss 1.406977
Epoch 14 | Batch 70/100 | Loss 1.409271
Epoch 14 | Batch 80/100 | Loss 1.408277
Epoch 14 | Batch 90/100 | Loss 1.409922
100 Test Acc = 47.79% +- 1.78%
Epoch 15 | Batch 0/100 | Loss 1.442879
Epoch 15 | Batch 10/100 | Loss 1.427040
Epoch 15 | Batch 20/100 | Loss 1.412851
Epoch 15 | Batch 30/100 | Loss 1.432316
Epoch 15 | Batch 40/100 | Loss 1.419736
Epoch 15 | Batch 50/100 | Loss 1.414144
Epoch 15 | Batch 60/100 | Loss 1.406990
Epoch 15 | Batch 70/100 | Loss 1.402508
Epoch 15 | Batch 80/100 | Loss 1.398576
Epoch 15 | Batch 90/100 | Loss 1.399292
100 Test Acc = 48.48% +- 1.84%
best model! save...
Epoch 16 | Batch 0/100 | Loss 1.434245
Epoch 16 | Batch 10/100 | Loss 1.396358
Epoch 16 | Batch 20/100 | Loss 1.375997
Epoch 16 | Batch 30/100 | Loss 1.360819
Epoch 16 | Batch 40/100 | Loss 1.376128
Epoch 16 | Batch 50/100 | Loss 1.378756
Epoch 16 | Batch 60/100 | Loss 1.394992
Epoch 16 | Batch 70/100 | Loss 1.383371
Epoch 16 | Batch 80/100 | Loss 1.387132
Epoch 16 | Batch 90/100 | Loss 1.384468
100 Test Acc = 48.58% +- 1.68%
best model! save...
Epoch 17 | Batch 0/100 | Loss 1.448317
Epoch 17 | Batch 10/100 | Loss 1.371164
Epoch 17 | Batch 20/100 | Loss 1.360317
Epoch 17 | Batch 30/100 | Loss 1.368161
Epoch 17 | Batch 40/100 | Loss 1.371919
Epoch 17 | Batch 50/100 | Loss 1.368625
Epoch 17 | Batch 60/100 | Loss 1.374201
Epoch 17 | Batch 70/100 | Loss 1.375847
Epoch 17 | Batch 80/100 | Loss 1.373945
Epoch 17 | Batch 90/100 | Loss 1.372710
100 Test Acc = 50.23% +- 1.62%
best model! save...
Epoch 18 | Batch 0/100 | Loss 1.295535
Epoch 18 | Batch 10/100 | Loss 1.390755
Epoch 18 | Batch 20/100 | Loss 1.398822
Epoch 18 | Batch 30/100 | Loss 1.368592
Epoch 18 | Batch 40/100 | Loss 1.381625
Epoch 18 | Batch 50/100 | Loss 1.375692
Epoch 18 | Batch 60/100 | Loss 1.373290
Epoch 18 | Batch 70/100 | Loss 1.383303
Epoch 18 | Batch 80/100 | Loss 1.387533
Epoch 18 | Batch 90/100 | Loss 1.384113
100 Test Acc = 47.49% +- 1.70%
Epoch 19 | Batch 0/100 | Loss 1.527568
Epoch 19 | Batch 10/100 | Loss 1.392613
Epoch 19 | Batch 20/100 | Loss 1.385446
Epoch 19 | Batch 30/100 | Loss 1.387189
Epoch 19 | Batch 40/100 | Loss 1.380081
Epoch 19 | Batch 50/100 | Loss 1.373131
Epoch 19 | Batch 60/100 | Loss 1.382773
Epoch 19 | Batch 70/100 | Loss 1.393706
Epoch 19 | Batch 80/100 | Loss 1.386086
Epoch 19 | Batch 90/100 | Loss 1.386728
100 Test Acc = 49.40% +- 1.99%
Epoch 20 | Batch 0/100 | Loss 1.396109
Epoch 20 | Batch 10/100 | Loss 1.404396
Epoch 20 | Batch 20/100 | Loss 1.391944
Epoch 20 | Batch 30/100 | Loss 1.386118
Epoch 20 | Batch 40/100 | Loss 1.365551
Epoch 20 | Batch 50/100 | Loss 1.374487
Epoch 20 | Batch 60/100 | Loss 1.373871
Epoch 20 | Batch 70/100 | Loss 1.368334
Epoch 20 | Batch 80/100 | Loss 1.372596
Epoch 20 | Batch 90/100 | Loss 1.372483
100 Test Acc = 50.10% +- 1.86%
Epoch 21 | Batch 0/100 | Loss 1.430346
Epoch 21 | Batch 10/100 | Loss 1.362841
Epoch 21 | Batch 20/100 | Loss 1.362259
Epoch 21 | Batch 30/100 | Loss 1.377694
Epoch 21 | Batch 40/100 | Loss 1.392158
Epoch 21 | Batch 50/100 | Loss 1.390905
Epoch 21 | Batch 60/100 | Loss 1.384828
Epoch 21 | Batch 70/100 | Loss 1.391241
Epoch 21 | Batch 80/100 | Loss 1.386440
Epoch 21 | Batch 90/100 | Loss 1.380255
100 Test Acc = 47.26% +- 2.04%
Epoch 22 | Batch 0/100 | Loss 1.465201
Epoch 22 | Batch 10/100 | Loss 1.408082
Epoch 22 | Batch 20/100 | Loss 1.384864
Epoch 22 | Batch 30/100 | Loss 1.384906
Epoch 22 | Batch 40/100 | Loss 1.370340
Epoch 22 | Batch 50/100 | Loss 1.372145
Epoch 22 | Batch 60/100 | Loss 1.377321
Epoch 22 | Batch 70/100 | Loss 1.374646
Epoch 22 | Batch 80/100 | Loss 1.374064
Epoch 22 | Batch 90/100 | Loss 1.379981
100 Test Acc = 50.16% +- 1.90%
Epoch 23 | Batch 0/100 | Loss 1.425115
Epoch 23 | Batch 10/100 | Loss 1.379697
Epoch 23 | Batch 20/100 | Loss 1.359919
Epoch 23 | Batch 30/100 | Loss 1.373041
Epoch 23 | Batch 40/100 | Loss 1.363705
Epoch 23 | Batch 50/100 | Loss 1.364200
Epoch 23 | Batch 60/100 | Loss 1.375222
Epoch 23 | Batch 70/100 | Loss 1.372343
Epoch 23 | Batch 80/100 | Loss 1.369225
